"Provinsi","Tahun","Rate_per100k","Sanitasi","Kemiskinan","Merokok","Kepadatan","Penduduk","RumahLayak","LamaSekolah","AirMinum","Penduduk_jiwa","Y","E","SMR","RR","Provinsi_geo"
"Papua Barat",2021,30.83,77.89,21.82,27.07,11,1156.8,57.9,10.03,81.68,1156800,357,801.436835103732,0.445449952339404,0.456,"Papua Barat"
"Papua Barat",2022,43.22,73.52,21.43,24.8,12,1183.3,53.81,10.14,81.57,1183300,511,819.796167858096,0.623325675375019,0.6384,"Papua Barat"
"Papua Barat",2023,91,76.3,20.49,25.3,12,1187.3,56.92,10.14,81.57,1187300,1080,822.567387896491,1.31296233705767,1.2952,"Papua Barat"
"Papua Barat",2024,86,79,21.09,25.9,10,578.7,58.22,9.87,82.38,578700,498,400.926259054745,1.24212367923748,1.2165,"Papua Barat"
"Papua Barat",2025,88,78.55,19.58,27.76,10,587.6,59.11,9.9,82.95,587600,517,407.092223640173,1.26998250022327,1.2498,"Papua Barat"
"Papua",2020,46.31,40.31,26.8,26.97,13,4303.7,28.56,6.96,62.73,4303700,1993,2981.62491980976,0.66842746945084,0.6676,"Papua"
"Papua",2021,49.84,40.81,27.38,24.91,14,4355.4,28.92,7.05,64.92,4355400,2171,3017.44293880601,0.719483365229453,0.7194,"Papua"
"Papua",2022,75,40.34,26.8,22.22,14,4418.6,27.28,7.31,65.39,4418600,3314,3061.22821541265,1.08257201580552,1.0821,"Papua"
"Papua",2023,91,43,26.03,22.3,14,4482.7,29.01,7.34,66.49,4482700,4079,3105.63701652792,1.3134181420082,1.3123,"Papua"
"Papua",2024,57,80.57,18.09,22.11,13,1060.6,62.15,10.7,85.84,1060600,605,734.78899318034,0.823365626887546,0.8284,"Papua"
"Papua",2025,58,76.71,17.82,22.02,13,1073.6,58.41,10.65,87.7,1073600,623,743.795458305123,0.837595864620661,0.8484,"Papua"
